127.0.0.1 - - [28/Jan/2016:16:22:26 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:26 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:26 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 13
127.0.0.1 - - [28/Jan/2016:16:22:27 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:27 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:27 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:27 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:28 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:28 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:28 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:28 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:29 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:29 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:29 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:29 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:30 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
127.0.0.1 - - [28/Jan/2016:16:22:30 -0300] "GET /lightsaverws/v1/sw/sensores/luminosidade HTTP/1.1" 200 14
127.0.0.1 - - [28/Jan/2016:16:22:30 -0300] "GET /lightsaverws/v1/sw/sensores/temperatura HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:30 -0300] "GET /lightsaverws/v1/sw/sensores/distancia HTTP/1.1" 200 11
127.0.0.1 - - [28/Jan/2016:16:22:31 -0300] "GET /lightsaverws/v1/sw/id HTTP/1.1" 200 12
